
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"NLQ","Nolinor Aviation",10
"OH","PSA Airlines Inc.",14796439
"OO","SkyWest Airlines Inc.",41022298
"OZ","Asiana Airlines Inc.",66180
"PFQ","Asia Pacific",0
"PH","Polynesian Airlines Ltd.",6426
"PM","Prescott Support Company, Inc.",0
"PO","Polar Air Cargo Airways",0
"PP","Jet Aviation Business Jets AG",2
"PT","Piedmont Airlines",4713610
"Q5","40-Mile Air",588
"QX","Horizon Air",7119761
"RVQ","Reeve Air Alaska, LLC",347
"S2","Star Marianas Air Inc.",105210
"SEB","Seaborne Virgin Islands, Inc.",130562
"SNK","Spernak Airways Inc.",4848
"SQ","Singapore Airlines Ltd.",0
"SY","Sun Country Airlines d/b/a MN Airlines",3670907
"TK","Turk Hava Yollari A.O.",271
"TP","TAP-TAP Air Portugal",157
"U7","USA Jet Airlines Inc.",0
"UA","United Air Lines Inc.",87586010
"V8","Iliamna Air Taxi",14380
"VI","Vieques Air Link Inc.",76442
"VIQ","Volga-Dnepr Airlines",0
"VJT","VistaJet Limited",29
"WG","Sunwing Airlines Inc.",260
"WI","Sky Lease Cargo",0
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",2463
"WN","Southwest Airlines Co.",158446002
"WST","Friday Harbor Seaplanes",3365
"X4","Air Excursions LLC",9011
"X9","Omni Air International LLC",96451
"XL","Lan Ecuador",199
"XP","TEM Enterprises dba  Avelo Airlines",331
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",173000
"YV","Mesa Airlines Inc.",13533097
"YX","Republic Airline",17869535
"Z3","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",5724
"Z3Q","PM Air, LLC",28512
"ZW","Air Wisconsin Airlines Corp",4106349
"All Rows","All Rows (including those not displayed)",813886554
