
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"04Q","Tradewind Aviation",12226
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",66181
"0JQ","Vision Airlines",188347
"0WQ","Avjet Corporation",5183
"1AQ","Via Airlines d/b/a Sterling Airways",34455
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",574
"1DQ","Island Airlines LLC",102486
"1EQ","KaiserAir, Inc.",7645
"1PQ","Makani Kai Air Charters",9522
"1QQ","City Wings Inc dba Seaflight",21039
"1TQ","Rhoades Aviation dba Transair",0
"1UQ","Gainjet Aviation SA",65
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",32695
"1YQ","Air Charter, Inc d/b/a Air Flamenco",66972
"20Q","Orange Air",10465
"2E","Smokey Bay Air Inc.",9088
"2F","Frontier Flying Service",0
"2O","Island Air Service",13048
"3E","Multi-Aero, Inc. d/b/a Air Choice One",41170
"3F","Pacific Airways, Inc.",15523
"3M","Silver Airways",545401
"4B","Boutique Air",4468
"4W","Warbelow",33046
"4Y (1)","Yute Air Aka Flight Alaska",64454
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",2355
"5X","United Parcel Service",0
"5Y","Atlas Air Inc.",15182
"7H","NEW PACIFIC AIRLINES",428475
"7S","Ryan Air f/k/a Arctic Transportation",1445
"8C","Air Transport International",0
"8D","Dynamic Aviation, Inc. d/b/a Beacon",9714
"8E","Bering Air Inc.",78365
"8V","Wright Air Service",46154
"9E","Endeavor Air Inc.",11422381
"9K","Cape Air",688901
"9S","Southern Air Inc.",0
"9X","Southern Airways Express, dba Mokulele Airlines",11798
"AA","American Airlines Inc.",66401508
"AAT","Air Sunshine Inc.",1571
"AB","Air Berlin PLC and CO",240
"ABX","ABX Air Inc",0
"AC","Air Canada",7600
"ADB","Antonov Company",0
"AMQ","Ameristar Air Cargo",15054
"AS","Alaska Airlines Inc.",19174237
"AX","Trans States Airlines",2392035
"AY","Finnair Oy",237
"B6","JetBlue Airways",26466131
"C5","CommuteAir LLC dba CommuteAir",1137645
"CH","Bemidji Airlines",0
"CP (2)","Compass Airlines",3693012
"DL","Delta Air Lines Inc.",106424222
"DY","Norwegian Air Shuttle ASA",471
"ELL","Ellis Air Taxi Inc.",388
"EM","Empire Airlines Inc.",106904
"EV","ExpressJet Airlines LLC d/b/a aha!",27968251
"F9","Frontier Airlines Inc.",11357867
"FCQ","Falcon Air Express",205404
"FL","AirTran Airways Corporation",7340526
"FRA","Freedom Air",3074
"FX","Federal Express Corporation",0
"G4","Allegiant Air",8186694
"G7","GoJet Airlines LLC d/b/a United Express",4022759
"GCH","Grand Canyon Helicopters",1776
"GFQ","Gulf And Caribbean Cargo",0
"GL","Miami Air International",157293
"GV","Grant Aviation",128185
"H6","Hageland Aviation Service",241008
"HA","Hawaiian Airlines Inc.",9093121
"HB","Homer Air",7347
"I4","Scott Air LLC dba Island Air Express",15363
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",28101
