
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"-","Unknown",18504
"04Q","Tradewind Aviation",15466
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",105410
"0GQ","Inter Island Airways, d/b/a Inter Island Air",0
"0JQ","Vision Airlines",40065
"0WQ","Avjet Corporation",5400
"1AQ","Via Airlines d/b/a Sterling Airways",50517
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",2143
"1DQ","Island Airlines LLC",80777
"1EQ","KaiserAir, Inc.",8936
"1PQ","Makani Kai Air Charters",10203
"1QQ","City Wings Inc dba Seaflight",23958
"1TQ","Rhoades Aviation dba Transair",0
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",45542
"1YQ","Air Charter, Inc d/b/a Air Flamenco",66131
"20Q","Orange Air",9335
"23Q","Songbird Airways Inc.",15830
"28Q","Menagerie Enterprises Inc d/b/a Monarch Air",4060
"29Q","Erickson Helicopters",138
"2E","Smokey Bay Air Inc.",9765
"2F","Frontier Flying Service",0
"2O","Island Air Service",12507
"3E","Multi-Aero, Inc. d/b/a Air Choice One",72561
"3F","Pacific Airways, Inc.",17188
"3M","Silver Airways",570287
"4B","Boutique Air",32657
"4W","Warbelow",26853
"4Y (1)","Yute Air Aka Flight Alaska",52445
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",3002
"5X","United Parcel Service",0
"5Y","Atlas Air Inc.",18627
"7H","NEW PACIFIC AIRLINES",442458
"7S","Ryan Air f/k/a Arctic Transportation",1740
"8C","Air Transport International",0
"8D","Dynamic Aviation, Inc. d/b/a Beacon",7672
"8E","Bering Air Inc.",75436
"8V","Wright Air Service",41650
"9E","Endeavor Air Inc.",9483016
"9K","Cape Air",628158
"9S","Southern Air Inc.",0
"9X","Southern Airways Express, dba Mokulele Airlines",23473
"AA","American Airlines Inc.",93340810
"AAT","Air Sunshine Inc.",1884
"ABX","ABX Air Inc",0
"AC","Air Canada",7165
"ADB","Antonov Company",0
"AMQ","Ameristar Air Cargo",9876
"AS","Alaska Airlines Inc.",21346759
"AX","Trans States Airlines",2768742
"B6","JetBlue Airways",28825334
"C5","CommuteAir LLC dba CommuteAir",1094091
"CH","Bemidji Airlines",0
"CP (2)","Compass Airlines",4582904
"DL","Delta Air Lines Inc.",115074415
"DY","Norwegian Air Shuttle ASA",285
"EE","Eastern Airlines Group Inc.",11478
"ELL","Ellis Air Taxi Inc.",114
"EM","Empire Airlines Inc.",187338
"EV","ExpressJet Airlines LLC d/b/a aha!",23988385
"F9","Frontier Airlines Inc.",12232305
"FCQ","Falcon Air Express",29204
"FX","Federal Express Corporation",0
"G4","Allegiant Air",9558698
"G7","GoJet Airlines LLC d/b/a United Express",4085314
"GCH","Grand Canyon Helicopters",1647
"GFQ","Gulf And Caribbean Cargo",0
"GL","Miami Air International",126703
"GV","Grant Aviation",117366
"H6","Hageland Aviation Service",259247
"HA","Hawaiian Airlines Inc.",9521343
"HB","Homer Air",8299
"I4","Scott Air LLC dba Island Air Express",17146
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",39593
"K3","Venture Travel LLC d/b/a Taquan Air Service",20708
"K5","Seaport Airlines, Inc.",105025
"KAH","Kenmore Air Harbor",48416
"KAQ","Kalitta Air LLC",0
"KAT","Katmai Air",13689
"KD","Western Global",0
"KH","Aloha Air Cargo",0
"KLQ","Kalitta Charters II",0
"KO","Alaska Central Express",3763
"KS","Peninsula Airways Inc.",221831
"L2","Lynden Air Cargo Airlines",0
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",23976
"LW","Pacific Wings Airlines",239
"M6","Amerijet International",0
"MQ","Envoy Air",11461700
"MW","Mokulele Flight Services, Inc.",243064
"NC","Northern Air Cargo Inc.",0
"NEW","New England Airlines Inc.",23350
"NK","Spirit Air Lines",15982391
"OH","PSA Airlines Inc.",9119480
"OO","SkyWest Airlines Inc.",27839666
"PFQ","Asia Pacific",0
"PH","Polynesian Airlines Ltd.",5325
"PM","Prescott Support Company, Inc.",0
"PO","Polar Air Cargo Airways",0
"PRQ","Florida West Airlines Inc.",0
"PT","Piedmont Airlines",2904775
"Q5","40-Mile Air",723
"QK","Jazz Aviation LP",375
"QX","Horizon Air",7013682
"RVQ","Reeve Air Alaska, LLC",457
"S2","Star Marianas Air Inc.",104032
"S5","Shuttle America Corp.",7397023
"SEB","Seaborne Virgin Islands, Inc.",129722
"SNK","Spernak Airways Inc.",6427
"SY","Sun Country Airlines d/b/a MN Airlines",2078139
"U7","USA Jet Airlines Inc.",0
"UA","United Air Lines Inc.",69310060
"US","US Airways Inc.",24790680
"V8","Iliamna Air Taxi",13107
"VI","Vieques Air Link Inc.",87887
"VIQ","Volga-Dnepr Airlines",0
"VX","Virgin America",6840974
"WE","Centurion Cargo Inc.",0
"WI","Sky Lease Cargo",0
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",16408
"WN","Southwest Airlines Co.",142470152
"WP","Island Air Hawaii",345787
"WRD","Ward Air",51
"WST","Friday Harbor Seaplanes",1724
"X4","Air Excursions LLC",4119
"X9","Omni Air International LLC",108643
"XP","TEM Enterprises dba  Avelo Airlines",49796
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",258034
"YV","Mesa Airlines Inc.",10577769
"YX","Republic Airline",13255648
"Z3","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",1084
"Z3Q","PM Air, LLC",36972
"ZK","Great Lakes Airlines",100537
"ZW","Air Wisconsin Airlines Corp",5858465
"ZX","Air Georgian",99
"All Rows","All Rows (including those not displayed)",698134329
