
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"04Q","Tradewind Aviation",21899
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",579476
"0BQ","DCA",28
"0UQ","Comlux Malta, Ltd.",20
"10Q","Swiss Air Ambulance",1
"13Q","Chartright Air Inc.",129
"14Q","London Air Services Limited",174
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",4481
"1EQ","KaiserAir, Inc.",10371
"1QQ","City Wings Inc dba Seaflight",10401
"1TQ","Rhoades Aviation dba Transair",0
"1UQ","Gainjet Aviation SA",17
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",24971
"1YQ","Air Charter, Inc d/b/a Air Flamenco",25732
"1ZQ","Comlux Aruba NV",99
"22Q","Gem Air LLC",536
"27Q","Jet Aviation Flight Services, Inc.",4591
"2E","Smokey Bay Air Inc.",13271
"2EQ","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",4459
"2HQ","Elite Airways LLC",22416
"2JQ","Delux Public Charter LLC",339401
"2LQ","Tropic Ocean Airways LLC",1164
"2O","Island Air Service",20874
"30Q","Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky",60
"34Q","Polaris Aviation Solutions, LLC",0
"36Q","Air Hamburg Luftverkehrsgesellschaft mbH",6
"3AQ","Maritime Helicopters, Inc.",4698
"3BQ","Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air",37
"3E","Multi-Aero, Inc. d/b/a Air Choice One",17943
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air",8429
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge",30591
"3KQ","Junipogo, LLC",61
"3M","Silver Airways",375666
"4B","Boutique Air",105189
"4W","Warbelow",12686
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",8005
"5X","United Parcel Service",0
"5Y","Atlas Air Inc.",6296
"7H","NEW PACIFIC AIRLINES",197216
"7S","Ryan Air f/k/a Arctic Transportation",5710
"8C","Air Transport International",2
"8E","Bering Air Inc.",85300
"8V","Wright Air Service",63901
"9E","Endeavor Air Inc.",12573222
"9K","Cape Air",411820
"9S","Southern Air Inc.",0
"9X","Southern Airways Express, dba Mokulele Airlines",324634
"AA","American Airlines Inc.",99225144
"ABX","ABX Air Inc",0
"AC","Air Canada",3991
"ADB","Antonov Company",0
"AMQ","Ameristar Air Cargo",1508
"AN","ADVANCED AIR, LLC",33315
"AOQ","Avcon Jet AG",19
"AS","Alaska Airlines Inc.",21702741
"B6","JetBlue Airways",22944344
"BA","British Airways Plc",86
"BAS","Baranautica Air Service LLC",181
"C5","CommuteAir LLC dba CommuteAir",2880902
"CH","Bemidji Airlines",0
"CX","Cathay Pacific Airways Ltd.",0
"DL","Delta Air Lines Inc.",92633601
"EB","WAMOS AIR SA",0
"ELL","Ellis Air Taxi Inc.",356
"EM","Empire Airlines Inc.",1502
"EV","ExpressJet Airlines LLC d/b/a aha!",9231
"F9","Frontier Airlines Inc.",19626363
"FX","Federal Express Corporation",0
"G4","Allegiant Air",13708350
"G7","GoJet Airlines LLC d/b/a United Express",2329630
"GCA","Global Crossing Airlines, Inc.",15186
"GCH","Grand Canyon Helicopters",0
"GFQ","Gulf And Caribbean Cargo",0
"GV","Grant Aviation",137112
"HA","Hawaiian Airlines Inc.",6472634
"I4","Scott Air LLC dba Island Air Express",24507
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",59830
"JCO","Concierge U Ltd. d/b/a Jet Concierge Club",29
"K2","Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",30330
"K3","Venture Travel LLC d/b/a Taquan Air Service",3100
"KAH","Kenmore Air Harbor",78046
"KAQ","Kalitta Air LLC",0
"KAT","Katmai Air",9644
"KD","Western Global",0
"KG","Key Lime Air Corporation",71887
"KH","Aloha Air Cargo",0
"KLQ","Kalitta Charters II",0
"KO","Alaska Central Express",14948
"KZ","Nippon Cargo Airlines",0
"L2","Lynden Air Cargo Airlines",0
"LDQ","Sparfell Luftfahrt GmbH",17
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",157128
"M6","Amerijet International",0
"MQ","Envoy Air",12351078
"MX","Breeze Aviation Group DBA  Breeze",320138
"N8","National Air Cargo Group Inc d/ba National Airlines",3533
"NC","Northern Air Cargo Inc.",0
"NEW","New England Airlines Inc.",33196
"NIQ","AVCON JET MALTA LTD",28
"NK","Spirit Air Lines",27609122
"NLQ","Nolinor Aviation",13
"OH","PSA Airlines Inc.",12330654
"OO","SkyWest Airlines Inc.",35069897
"PAF","Pathfinder Aviation",441
"PFQ","Asia Pacific",0
"PH","Polynesian Airlines Ltd.",6000
"PM","Prescott Support Company, Inc.",0
"PO","Polar Air Cargo Airways",0
"PR","Philippine Airlines Inc.",0
"PT","Piedmont Airlines",3775696
"Q5","40-Mile Air",849
"QK","Jazz Aviation LP",86
