
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"QX","Horizon Air",5927732
"RVQ","Reeve Air Alaska, LLC",2744
"S2","Star Marianas Air Inc.",66045
"SEB","Seaborne Virgin Islands, Inc.",30528
"SNK","Spernak Airways Inc.",3556
"SY","Sun Country Airlines d/b/a MN Airlines",2783233
"TK","Turk Hava Yollari A.O.",3951
"TP","TAP-TAP Air Portugal",150
"TQ","Tailwind Air, LLC",756
"U7","USA Jet Airlines Inc.",0
"UA","United Air Lines Inc.",58899326
"V8","Iliamna Air Taxi",8623
"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",833
"VI","Vieques Air Link Inc.",67207
"VIQ","Volga-Dnepr Airlines",0
"VJT","VistaJet Limited",3
"W8","Cargojet Airways Ltd.",0
"WGT","Volkswagen AirSevice GmbH dba Volkswagon",7
"WI","Sky Lease Cargo",0
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",3213
"WN","Southwest Airlines Co.",120715942
"WST","Friday Harbor Seaplanes",5525
"X4","Air Excursions LLC",8852
"X7","Challenge Airlines (BE) S.A.",0
"X9","Omni Air International LLC",16194
"XP","TEM Enterprises dba  Avelo Airlines",344393
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",45306
"YV","Mesa Airlines Inc.",9364906
"YX","Republic Airline",17495428
"Z3","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",5877
"Z3Q","PM Air, LLC",35992
"ZW","Air Wisconsin Airlines Corp",3380271
"All Rows","All Rows (including those not displayed)",608208969
