
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"POQ","Polyot Airlines",0
"PRQ","Florida West Airlines Inc.",0
"PT","Piedmont Airlines",3175873
"PT (1)","Capital Cargo International",0
"Q5","40-Mile Air",343
"QX","Horizon Air",5207525
"RD","Ryan International Airlines",834625
"RP","Chautauqua Airlines Inc.",6148248
"S5","Shuttle America Corp.",530177
"S6 (1)","Mountain Bird/Salmon Air",4116
"SEB","Seaborne Virgin Islands, Inc.",160746
"SI","Sierra Pacific Airlines",27575
"SLQ","Sky King Inc.",100236
"SM","Sunworld International Airlines",10585
"SNK","Spernak Airways Inc.",11881
"SY","Sun Country Airlines d/b/a MN Airlines",1058795
"T9","TransMeridian Airlines",661880
"TCQ","Express.Net Airlines",0
"TZ","ATA Airlines d/b/a ATA",9767113
"U5","USA 3000 Airlines",726716
"U7","USA Jet Airlines Inc.",11858
"UA","United Air Lines Inc.",60080792
"US","US Airways Inc.",37810424
"V8","Iliamna Air Taxi",13471
"VCQ","Victory Air Transport Inc.",131
"VI","Vieques Air Link Inc.",31126
"VIQ","Volga-Dnepr Airlines",0
"VLA","Village Aviation",0
"VQ","Vintage Props & Jets Inc.",2607
"WE","Centurion Cargo Inc.",0
"WI","Sky Lease Cargo",0
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",49764
"WN","Southwest Airlines Co.",81121296
"WO (1)","World Airways Inc.",33476
"WP","Island Air Hawaii",410657
"WRD","Ward Air",10570
"WST","Friday Harbor Seaplanes",45282
"X9","Omni Air International LLC",335521
"XE","ExpressJet Airlines Inc.",12248429
"XJ","Mesaba Airlines",5243118
"XP","TEM Enterprises dba  Avelo Airlines",126111
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",297392
"YV","Mesa Airlines Inc.",9456429
"YX (1)","Midwest Airline, Inc.",2367661
"Z3","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",3554
"Z3 (1)","Promech",62494
"ZK","Great Lakes Airlines",491547
"ZKQ","Zantop International",0
"ZP","Air St. Thomas",4978
"ZV","Air Midwest Inc.",611821
"ZW","Air Wisconsin Airlines Corp",6868640
"All Rows","All Rows (including those not displayed)",634369038
