
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"04Q","Tradewind Aviation",25054
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",133909
"0WQ","Avjet Corporation",4584
"1AQ","Via Airlines d/b/a Sterling Airways",57717
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",2788
"1EQ","KaiserAir, Inc.",10969
"1PQ","Makani Kai Air Charters",10840
"1QQ","City Wings Inc dba Seaflight",26124
"1TQ","Rhoades Aviation dba Transair",0
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",56586
"1YQ","Air Charter, Inc d/b/a Air Flamenco",65228
"20Q","Orange Air",248
"22Q","Gem Air LLC",286
"23Q","Songbird Airways Inc.",4800
"27Q","Jet Aviation Flight Services, Inc.",2320
"28Q","Menagerie Enterprises Inc d/b/a Monarch Air",14346
"29Q","Erickson Helicopters",706
"2E","Smokey Bay Air Inc.",19109
"2EQ","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",660
"2F","Frontier Flying Service",0
"2HQ","Elite Airways LLC",27821
"2JQ","Delux Public Charter LLC",26137
"2O","Island Air Service",14287
"2TQ","Trans Northern Airways d/b/a Air Unlimited Charter Services",184
"3E","Multi-Aero, Inc. d/b/a Air Choice One",80798
"3F","Pacific Airways, Inc.",17182
"3M","Silver Airways",434652
"4B","Boutique Air",118347
"4W","Warbelow",33717
"4Y (1)","Yute Air Aka Flight Alaska",48760
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",3624
"5X","United Parcel Service",0
"5Y","Atlas Air Inc.",10737
"7H","NEW PACIFIC AIRLINES",429738
"7S","Ryan Air f/k/a Arctic Transportation",1661
"8C","Air Transport International",0
"8D","Dynamic Aviation, Inc. d/b/a Beacon",733
"8E","Bering Air Inc.",76716
"8V","Wright Air Service",42470
"9E","Endeavor Air Inc.",10121151
"9K","Cape Air",626283
"9S","Southern Air Inc.",0
"9X","Southern Airways Express, dba Mokulele Airlines",31431
"AA","American Airlines Inc.",116702019
"AAT","Air Sunshine Inc.",1230
"ABX","ABX Air Inc",0
"AC","Air Canada",6905
"ADB","Antonov Company",0
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",26853
"AMQ","Ameristar Air Cargo",10186
"AS","Alaska Airlines Inc.",22642716
"AX","Trans States Airlines",3047844
"B6","JetBlue Airways",31238983
"C5","CommuteAir LLC dba CommuteAir",1340712
"CH","Bemidji Airlines",0
"CP (2)","Compass Airlines",5869905
"DL","Delta Air Lines Inc.",119168590
"EE","Eastern Airlines Group Inc.",36853
"ELL","Ellis Air Taxi Inc.",363
"EM","Empire Airlines Inc.",221789
"EV","ExpressJet Airlines LLC d/b/a aha!",20571842
"F9","Frontier Airlines Inc.",14105325
"FX","Federal Express Corporation",0
"G4","Allegiant Air",11144316
"G7","GoJet Airlines LLC d/b/a United Express",4525848
"GCH","Grand Canyon Helicopters",1738
"GFQ","Gulf And Caribbean Cargo",0
"GL","Miami Air International",104506
"GV","Grant Aviation",105158
"H6","Hageland Aviation Service",253968
"HA","Hawaiian Airlines Inc.",9796175
"HBQ","Harris Air Services",201
"I4","Scott Air LLC dba Island Air Express",19553
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",58973
"K3","Venture Travel LLC d/b/a Taquan Air Service",43464
"K5","Seaport Airlines, Inc.",15152
"KAH","Kenmore Air Harbor",38954
"KAQ","Kalitta Air LLC",0
"KAT","Katmai Air",15068
"KD","Western Global",0
"KH","Aloha Air Cargo",0
"KLQ","Kalitta Charters II",0
"KO","Alaska Central Express",5083
"KS","Peninsula Airways Inc.",274155
"L2","Lynden Air Cargo Airlines",0
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",72433
"M6","Amerijet International",0
"MQ","Envoy Air",11225700
"MW","Mokulele Flight Services, Inc.",257714
"N8","National Air Cargo Group Inc d/ba National Airlines",19840
"NC","Northern Air Cargo Inc.",0
"NEW","New England Airlines Inc.",34388
"NK","Spirit Air Lines",19183049
"O6","Oceanair Linhas Aereas S A",0
"OH","PSA Airlines Inc.",11601899
"OO","SkyWest Airlines Inc.",29100284
"PFQ","Asia Pacific",0
"PH","Polynesian Airlines Ltd.",7326
"PM","Prescott Support Company, Inc.",0
"PO","Polar Air Cargo Airways",0
"PRQ","Florida West Airlines Inc.",0
"PT","Piedmont Airlines",2714814
"Q5","40-Mile Air",883
"QK","Jazz Aviation LP",142
"QX","Horizon Air",7120550
"RVQ","Reeve Air Alaska, LLC",310
"S2","Star Marianas Air Inc.",94408
"S5","Shuttle America Corp.",4356393
"SEB","Seaborne Virgin Islands, Inc.",147980
"SNK","Spernak Airways Inc.",6036
"SY","Sun Country Airlines d/b/a MN Airlines",2101729
"U7","USA Jet Airlines Inc.",0
"UA","United Air Lines Inc.",73916601
"V8","Iliamna Air Taxi",11647
"VI","Vieques Air Link Inc.",80133
"VJT","VistaJet Limited",20
"VX","Virgin America",7858125
"WE","Centurion Cargo Inc.",0
"WI","Sky Lease Cargo",0
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",19542
"WN","Southwest Airlines Co.",148878754
"WP","Island Air Hawaii",474574
"WRD","Ward Air",63
"WST","Friday Harbor Seaplanes",2546
"X4","Air Excursions LLC",4651
"X9","Omni Air International LLC",83524
"XP","TEM Enterprises dba  Avelo Airlines",164412
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",232535
"YV","Mesa Airlines Inc.",11654201
"YX","Republic Airline",11577582
"Z3","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",1296
"Z3Q","PM Air, LLC",22838
"ZK","Great Lakes Airlines",73323
"ZW","Air Wisconsin Airlines Corp",4917270
"ZX","Air Georgian",30
"All Rows","All Rows (including those not displayed)",721996675
