
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"SY","Sun Country Airlines d/b/a MN Airlines",2522275
"U7","USA Jet Airlines Inc.",0
"UA","United Air Lines Inc.",80554287
"V8","Iliamna Air Taxi",11758
"VI","Vieques Air Link Inc.",63569
"VIQ","Volga-Dnepr Airlines",0
"VX","Virgin America",8215047
"WI","Sky Lease Cargo",0
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",17964
"WN","Southwest Airlines Co.",153859080
"WP","Island Air Hawaii",537725
"WRD","Ward Air",52
"WST","Friday Harbor Seaplanes",2421
"X4","Air Excursions LLC",8723
"X9","Omni Air International LLC",97439
"XP","TEM Enterprises dba  Avelo Airlines",133497
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",242933
"YV","Mesa Airlines Inc.",12061776
"YX","Republic Airline",15786868
"Z3","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",2647
"Z3Q","PM Air, LLC",30299
"ZK","Great Lakes Airlines",60573
"ZW","Air Wisconsin Airlines Corp",3305264
"All Rows","All Rows (including those not displayed)",743931807
