
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"04Q","Tradewind Aviation",26416
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",218993
"0WQ","Avjet Corporation",4548
"1AQ","Via Airlines d/b/a Sterling Airways",57989
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",826
"1EQ","KaiserAir, Inc.",12425
"1PQ","Makani Kai Air Charters",10812
"1QQ","City Wings Inc dba Seaflight",16732
"1TQ","Rhoades Aviation dba Transair",0
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",60349
"1YQ","Air Charter, Inc d/b/a Air Flamenco",52955
"22Q","Gem Air LLC",324
"27Q","Jet Aviation Flight Services, Inc.",10342
"28Q","Menagerie Enterprises Inc d/b/a Monarch Air",8452
"29Q","Erickson Helicopters",219
"2E","Smokey Bay Air Inc.",20395
"2EQ","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",427
"2F","Frontier Flying Service",0
"2HQ","Elite Airways LLC",47654
"2JQ","Delux Public Charter LLC",73982
"2O","Island Air Service",20698
"2TQ","Trans Northern Airways d/b/a Air Unlimited Charter Services",314
"3E","Multi-Aero, Inc. d/b/a Air Choice One",83617
"3F","Pacific Airways, Inc.",14476
"3M","Silver Airways",424388
"4B","Boutique Air",182403
"4W","Warbelow",32989
"4Y (1)","Yute Air Aka Flight Alaska",6060
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",3475
"5X","United Parcel Service",0
"5Y","Atlas Air Inc.",11367
"7H","NEW PACIFIC AIRLINES",441885
"7S","Ryan Air f/k/a Arctic Transportation",1601
"8C","Air Transport International",0
"8D","Dynamic Aviation, Inc. d/b/a Beacon",0
"8E","Bering Air Inc.",81954
"8V","Wright Air Service",44388
"9E","Endeavor Air Inc.",11065673
"9K","Cape Air",591248
"9S","Southern Air Inc.",0
"9X","Southern Airways Express, dba Mokulele Airlines",77613
"AA","American Airlines Inc.",116528317
"AAT","Air Sunshine Inc.",1661
"ABX","ABX Air Inc",0
"AC","Air Canada",8131
"ADB","Antonov Company",0
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",77310
"AMQ","Ameristar Air Cargo",5026
"AS","Alaska Airlines Inc.",24089158
"AX","Trans States Airlines",3263661
"B6","JetBlue Airways",32395833
"C5","CommuteAir LLC dba CommuteAir",1594513
"CH","Bemidji Airlines",0
"CI","China Airlines Ltd.",0
"CP (2)","Compass Airlines",5612027
"DL","Delta Air Lines Inc.",120928953
"DY","Norwegian Air Shuttle ASA",812
"EE","Eastern Airlines Group Inc.",11828
"ELL","Ellis Air Taxi Inc.",321
"EM","Empire Airlines Inc.",185485
"EV","ExpressJet Airlines LLC d/b/a aha!",14229588
"F9","Frontier Airlines Inc.",15970347
"FX","Federal Express Corporation",0
"G4","Allegiant Air",12316340
"G7","GoJet Airlines LLC d/b/a United Express",4996535
"GCH","Grand Canyon Helicopters",188
"GFQ","Gulf And Caribbean Cargo",0
"GL","Miami Air International",116212
"GV","Grant Aviation",103002
"H6","Hageland Aviation Service",263831
"HA","Hawaiian Airlines Inc.",10036582
"HBQ","Harris Air Services",6777
"I4","Scott Air LLC dba Island Air Express",21114
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",61889
"K2","Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",4477
"K3","Venture Travel LLC d/b/a Taquan Air Service",42806
"KAH","Kenmore Air Harbor",41509
"KAQ","Kalitta Air LLC",0
"KAT","Katmai Air",12723
"KD","Western Global",0
"KG","Key Lime Air Corp dba Denver Air Connection",29534
"KH","Aloha Air Cargo",0
"KLQ","Kalitta Charters II",0
"KO","Alaska Central Express",5023
"KS","Peninsula Airways Inc.",286257
"L2","Lynden Air Cargo Airlines",0
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",101552
"M6","Amerijet International",0
"MQ","Envoy Air",10707148
"MW","Mokulele Flight Services, Inc.",245907
"N8","National Air Cargo Group Inc d/ba National Airlines",7121
"NC","Northern Air Cargo Inc.",0
"NEW","New England Airlines Inc.",32487
"NK","Spirit Air Lines",21971273
"OH","PSA Airlines Inc.",12592802
"OO","SkyWest Airlines Inc.",34053910
"PFQ","Asia Pacific",0
"PH","Polynesian Airlines Ltd.",6309
"PM","Prescott Support Company, Inc.",0
"PO","Polar Air Cargo Airways",0
"PT","Piedmont Airlines",3035004
"Q5","40-Mile Air",710
"QX","Horizon Air",6453946
"RVQ","Reeve Air Alaska, LLC",270
"S2","Star Marianas Air Inc.",89550
"SEB","Seaborne Virgin Islands, Inc.",157991
"SNK","Spernak Airways Inc.",5871
