
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"04Q","Tradewind Aviation",3844
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2751
"2E","Smokey Bay Air Inc.",16521
"2F","Frontier Flying Service",199098
"2O","Island Air Service",12410
"3C","Regions Air, Inc.",152374
"3F","Pacific Airways, Inc.",306
"3M","Silver Airways",444117
"4W","Warbelow",36827
"4Y (1)","Yute Air Aka Flight Alaska",37219
"5F","Arctic Circle Air Service",2428
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",1996
"5X","United Parcel Service",0
"5Y","Atlas Air Inc.",0
"7H","NEW PACIFIC AIRLINES",355400
"7N","Inland Aviation Services",8322
"7S","Ryan Air f/k/a Arctic Transportation",0
"8C","Air Transport International",0
"8D","Dynamic Aviation, Inc. d/b/a Beacon",11605
"8E","Bering Air Inc.",70893
"8V","Wright Air Service",24094
"9E","Endeavor Air Inc.",8656331
"9K","Cape Air",682686
"9L","Colgan Air",1454151
"9S","Southern Air Inc.",0
"AA","American Airlines Inc.",76813449
"ABX","ABX Air Inc",0
"AC","Air Canada",5508
"ADB","Antonov Company",0
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",21545
"AL","Skyway Airlines",857208
"AMQ","Ameristar Air Cargo",4771
"AQ","Aloha Airlines Inc.",3472777
"AS","Alaska Airlines Inc.",14916122
"AX","Trans States Airlines",3704586
"B6","JetBlue Airways",18098021
"BNQ","NetJets Large Aircraft Company L.L.C.",262
"C5","CommuteAir LLC dba CommuteAir",319720
"CH","Bemidji Airlines",0
"CO","Continental Air Lines Inc.",35795440
"CS","Continental Micronesia",173868
"DL","Delta Air Lines Inc.",63495888
"E9 (1)","Boston-Maine Airways",77782
"ELL","Ellis Air Taxi Inc.",207
"EM","Empire Airlines Inc.",0
"ER","Astar USA, LLC",0
"EV","ExpressJet Airlines LLC d/b/a aha!",11360116
"EZ","Evergreen International Inc.",0
"F2","Omega Air Holdings d/b/a Focus Air",0
"F8","Freedom Airlines d/b/a HP Expr",1641287
"F9","Frontier Airlines Inc.",8512331
"FCQ","Falcon Air Express",9835
"FE","Primaris Airlines Inc.",170
"FL","AirTran Airways Corporation",19967895
"FRA","Freedom Air",98701
"FX","Federal Express Corporation",0
