
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"OO","SkyWest Airlines Inc.",19453638
"OW","Executive Airlines",958522
"PCQ","Pace Airlines",153095
"PFQ","Asia Pacific",0
"PO","Polar Air Cargo Airways",0
"POQ","Polyot Airlines",0
"PRQ","Florida West Airlines Inc.",0
"PT","Piedmont Airlines",3095494
"PT (1)","Capital Cargo International",0
"Q5","40-Mile Air",412
"QX","Horizon Air",6480805
"RD","Ryan International Airlines",58338
"RP","Chautauqua Airlines Inc.",7296140
"S5","Shuttle America Corp.",3478931
"SEB","Seaborne Virgin Islands, Inc.",147245
"SI","Sierra Pacific Airlines",31549
"SLQ","Sky King Inc.",107165
"SNK","Spernak Airways Inc.",11135
"SX","Skybus Airlines, Inc.",291176
"SY","Sun Country Airlines d/b/a MN Airlines",1270630
"TH","Transmile Air Service",0
"TZ","ATA Airlines d/b/a ATA",393626
"U5","USA 3000 Airlines",809307
"U7","USA Jet Airlines Inc.",32823
"UA","United Air Lines Inc.",51681045
"UH","US Helicopter Corporation",10889
"US","US Airways Inc.",48544910
"V8","Iliamna Air Taxi",17072
"VI","Vieques Air Link Inc.",26585
"VIQ","Volga-Dnepr Airlines",0
"VQ","Vintage Props & Jets Inc.",1379
"VX","Virgin America",2564629
"WE","Centurion Cargo Inc.",0
"WI","Sky Lease Cargo",0
"WN","Southwest Airlines Co.",101965552
"WO (1)","World Airways Inc.",4917
"WP","Island Air Hawaii",525506
"WRD","Ward Air",74
"WST","Friday Harbor Seaplanes",8133
"WV","Air Greco, Inc., d/b/a Wings Air",1408
"X9","Omni Air International LLC",119605
"XE","ExpressJet Airlines Inc.",13544285
"XJ","Mesaba Airlines",5097696
"XP","TEM Enterprises dba  Avelo Airlines",116147
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",69534
"YV","Mesa Airlines Inc.",10980722
"YX","Republic Airline",6848703
"YX (1)","Midwest Airline, Inc.",3004083
"Z3","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",1757
"Z3Q","PM Air, LLC",34691
"ZK","Great Lakes Airlines",569844
"ZV","Air Midwest Inc.",64377
"ZW","Air Wisconsin Airlines Corp",5399055
"All Rows","All Rows (including those not displayed)",653828597
