
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"04Q","Tradewind Aviation",8698
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",41616
"0JQ","Vision Airlines",50914
"2E","Smokey Bay Air Inc.",10420
"2F","Frontier Flying Service",141224
"2O","Island Air Service",14193
"3E","Multi-Aero, Inc. d/b/a Air Choice One",566
"3F","Pacific Airways, Inc.",18202
"3M","Silver Airways",335249
"4W","Warbelow",39255
"4Y (1)","Yute Air Aka Flight Alaska",52075
"5F","Arctic Circle Air Service",193
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",1589
"5X","United Parcel Service",0
"5Y","Atlas Air Inc.",0
"7H","NEW PACIFIC AIRLINES",353998
"7N","Inland Aviation Services",1176
"7S","Ryan Air f/k/a Arctic Transportation",0
"8C","Air Transport International",0
"8D","Dynamic Aviation, Inc. d/b/a Beacon",12533
"8E","Bering Air Inc.",79000
"8V","Wright Air Service",26641
"9E","Endeavor Air Inc.",9961665
"9K","Cape Air",668651
"9L","Colgan Air",2423394
"9S","Southern Air Inc.",0
"AA","American Airlines Inc.",71563663
"ABX","ABX Air Inc",0
"AC","Air Canada",5742
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",13136
"AL","Skyway Airlines",140582
"AMQ","Ameristar Air Cargo",3025
"AQ","Aloha Airlines Inc.",904873
"AS","Alaska Airlines Inc.",14864602
"AX","Trans States Airlines",3495153
"B6","JetBlue Airways",20517934
"BNQ","NetJets Large Aircraft Company L.L.C.",490
"C5","CommuteAir LLC dba CommuteAir",691885
"CH","Bemidji Airlines",0
"CO","Continental Air Lines Inc.",34524968
"CP (2)","Compass Airlines",1959298
"CS","Continental Micronesia",158820
"DL","Delta Air Lines Inc.",59375572
"E9 (1)","Boston-Maine Airways",351
"ELL","Ellis Air Taxi Inc.",221
"EM","Empire Airlines Inc.",0
"ER","Astar USA, LLC",0
"EV","ExpressJet Airlines LLC d/b/a aha!",11916167
"EZ","Evergreen International Inc.",0
"F2","Omega Air Holdings d/b/a Focus Air",0
"F8","Freedom Airlines d/b/a HP Expr",1775880
"F9","Frontier Airlines Inc.",10096403
"FCQ","Falcon Air Express",20076
"FE","Primaris Airlines Inc.",7625
"FL","AirTran Airways Corporation",24586032
"FRA","Freedom Air",86215
"FX","Federal Express Corporation",0
"G4","Allegiant Air",4263157
"G7","GoJet Airlines LLC d/b/a United Express",1491304
"GCH","Grand Canyon Helicopters",926
"GFQ","Gulf And Caribbean Cargo",0
"GL","Miami Air International",122735
"GQ","Big Sky Airlines Inc.",6357
"GR","Gemini Air Cargo Airways",0
"GV","Grant Aviation",118613
"H6","Hageland Aviation Service",157477
"HA","Hawaiian Airlines Inc.",7738854
"HB","Homer Air",17122
"HBQ","Harris Air Services",297
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",6495
"JF","L.A.B. Flying Service Inc.",7805
"JW","Arrow Air Inc.",0
"K3","Venture Travel LLC d/b/a Taquan Air Service",11422
"K5","Seaport Airlines, Inc.",42182
"KAH","Kenmore Air Harbor",81327
"KAQ","Kalitta Air LLC",0
"KAT","Katmai Air",13322
"KH","Aloha Air Cargo",0
"KLQ","Kalitta Charters II",0
"KO","Alaska Central Express",0
"KR","Kitty Hawk Aircargo",0
"KS","Peninsula Airways Inc.",228164
"L2","Lynden Air Cargo Airlines",0
"L3","Lynx Aviation d/b/a Frontier Airlines",984706
"LW","Pacific Wings Airlines",69005
"M6","Amerijet International",0
"MG","Champion Air",87761
"MQ","Envoy Air",15575137
"MW","Mokulele Flight Services, Inc.",32961
"N8","National Air Cargo Group Inc d/ba National Airlines",6817
"NA","North American Airlines",28153
"NC","Northern Air Cargo Inc.",0
"NEW","New England Airlines Inc.",21485
"NK","Spirit Air Lines",5500761
"NW","Northwest Airlines Inc.",38510984
"OH","PSA Airlines Inc.",4743922
"OH (1)","Comair Inc.",7736752
