
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"04Q","Tradewind Aviation",17714
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",229529
"0UQ","Comlux Malta, Ltd.",11
"13Q","Chartright Air Inc.",59
"14Q","London Air Services Limited",85
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",2237
"1EQ","KaiserAir, Inc.",5655
"1QQ","City Wings Inc dba Seaflight",7254
"1TQ","Rhoades Aviation dba Transair",0
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",19632
"1YQ","Air Charter, Inc d/b/a Air Flamenco",8330
"22Q","Gem Air LLC",373
"27Q","Jet Aviation Flight Services, Inc.",2353
"2E","Smokey Bay Air Inc.",9400
"2EQ","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",4278
"2HQ","Elite Airways LLC",5483
"2JQ","Delux Public Charter LLC",224221
"2LQ","Tropic Ocean Airways LLC",512
"2O","Island Air Service",14710
"3AQ","Maritime Helicopters, Inc.",3386
"3E","Multi-Aero, Inc. d/b/a Air Choice One",31653
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air",5303
"3F","Pacific Airways, Inc.",21
"3M","Silver Airways",204950
"4B","Boutique Air",91484
"4W","Warbelow",4889
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",3333
"5X","United Parcel Service",0
"5Y","Atlas Air Inc.",5640
"6R","Aerounion Aerotransporte de Carga Union SA de CV",0
"7H","NEW PACIFIC AIRLINES",48506
"7S","Ryan Air f/k/a Arctic Transportation",3410
"8C","Air Transport International",0
"8E","Bering Air Inc.",59879
"8V","Wright Air Service",37757
"9E","Endeavor Air Inc.",6809495
"9K","Cape Air",246398
"9S","Southern Air Inc.",0
"9X","Southern Airways Express, dba Mokulele Airlines",101317
"AA","American Airlines Inc.",56676021
"AAT","Air Sunshine Inc.",1312
"ABX","ABX Air Inc",0
"AC","Air Canada",4424
"AMQ","Ameristar Air Cargo",3154
"AN","ADVANCED AIR, LLC",21797
"AOQ","Avcon Jet AG",8
"AS","Alaska Airlines Inc.",11365369
"AX","Trans States Airlines",601923
"B6","JetBlue Airways",11127642
"BA","British Airways Plc",305
"C5","CommuteAir LLC dba CommuteAir",968446
"CH","Bemidji Airlines",0
"CI","China Airlines Ltd.",0
"CP (2)","Compass Airlines",741338
"DL","Delta Air Lines Inc.",48382072
"ELL","Ellis Air Taxi Inc.",141
"EM","Empire Airlines Inc.",66720
"EV","ExpressJet Airlines LLC d/b/a aha!",1551839
"F9","Frontier Airlines Inc.",10916896
"FX","Federal Express Corporation",0
"G4","Allegiant Air",8699528
"G7","GoJet Airlines LLC d/b/a United Express",1164407
"GCH","Grand Canyon Helicopters",0
"GFQ","Gulf And Caribbean Cargo",0
"GL","Miami Air International",18418
"GV","Grant Aviation",98800
"H6","Hageland Aviation Service",31219
"HA","Hawaiian Airlines Inc.",3020759
"I4","Scott Air LLC dba Island Air Express",17591
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",36160
"JCO","Concierge U Ltd. d/b/a Jet Concierge Club",1
