
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"K2","Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",15649
"K3","Venture Travel LLC d/b/a Taquan Air Service",2582
"KAH","Kenmore Air Harbor",23186
"KAQ","Kalitta Air LLC",0
"KAT","Katmai Air",4511
"KD","Western Global",0
"KG","Key Lime Air Corporation",17472
"KH","Aloha Air Cargo",0
"KLQ","Kalitta Charters II",0
"KO","Alaska Central Express",13098
"KS","Peninsula Airways Inc.",17693
"KZ","Nippon Cargo Airlines",0
"L2","Lynden Air Cargo Airlines",0
"LA","Lan-Chile Airlines",0
"LDQ","Sparfell Luftfahrt GmbH",9
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",94622
"LX","Swiss International Airlines",43
"M6","Amerijet International",0
"MQ","Envoy Air",7607683
"MW","Mokulele Flight Services, Inc.",2355
"N8","National Air Cargo Group Inc d/ba National Airlines",2101
"NC","Northern Air Cargo Inc.",0
"NEW","New England Airlines Inc.",25063
"NK","Spirit Air Lines",16827684
"OH","PSA Airlines Inc.",8395342
"OO","SkyWest Airlines Inc.",19809182
"OZ","Asiana Airlines Inc.",34642
"PAF","Pathfinder Aviation",175
"PFQ","Asia Pacific",0
"PH","Polynesian Airlines Ltd.",5242
"PM","Prescott Support Company, Inc.",0
"PO","Polar Air Cargo Airways",0
"PT","Piedmont Airlines",1911138
"Q5","40-Mile Air",680
"QX","Horizon Air",3611208
"RVQ","Reeve Air Alaska, LLC",153
"S2","Star Marianas Air Inc.",45287
"SEB","Seaborne Virgin Islands, Inc.",38489
"SNK","Spernak Airways Inc.",3087
"SQ","Singapore Airlines Ltd.",0
"SY","Sun Country Airlines d/b/a MN Airlines",1697976
"TK","Turk Hava Yollari A.O.",0
"U7","USA Jet Airlines Inc.",0
"UA","United Air Lines Inc.",30040617
"V8","Iliamna Air Taxi",7034
"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",534
"VH","Fast Colombia SAS d/b/a Viva Colombia",176
"VI","Vieques Air Link Inc.",49681
"VJT","VistaJet Limited",3
"WI","Sky Lease Cargo",0
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1856
"WN","Southwest Airlines Co.",68443141
"WST","Friday Harbor Seaplanes",1629
"X4","Air Excursions LLC",3435
"X7","Challenge Airlines (BE) S.A.",0
"X9","Omni Air International LLC",22572
"XP","TEM Enterprises dba  Avelo Airlines",205
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",25861
"YV","Mesa Airlines Inc.",6342268
"YX","Republic Airline",8523851
"Z3","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",3103
"Z3Q","PM Air, LLC",25070
"ZW","Air Wisconsin Airlines Corp",1431613
"All Rows","All Rows (including those not displayed)",338854548
